koi_fwm_sdec,koi_fwm_sra,koi_teq,koi_prad
44.31558,18.751975,1562,1.66
47.59385,19.941831,881,1.67
41.4251,19.947524,861,1.67
45.87016,19.942411,771,1.68
47.52986,19.451434,479,1.68
44.64724,19.388276,1030,1.68
42.527959,19.5926746,1371,1.68
44.85828,19.456153,959,1.69
45.428528,19.7376128,972,1.69
38.65725,19.488421,560,1.69
40.479895,19.3963132,977,1.69
48.77541,19.88633,608,1.7
44.08773,19.509482,392,1.7
38.127516,19.425479,1915,1.7
48.58064,18.880513,527,1.71
38.345367,19.5105594,899,1.71
38.41029,19.440491,804,1.72
50.67239,19.753504,1063,1.72
38.795415,19.3663387,1183,1.72
46.266475,19.694196,1161,1.72
50.53203,19.598244,343,1.73
42.03364,19.007385,554,1.73
48.58031,18.880482,719,1.73
43.47275,19.324114,948,1.73
45.349644,18.8808384,265,1.73
37.25274,19.381913,618,1.74
44.86897,19.550725,286,1.74
41.30552,18.879547,1655,1.74
44.688239,19.4435444,1311,1.75
45.21397,19.664938,460,1.75
47.59376,19.941844,723,1.76
41.75807,19.790442,485,1.76
47.163969,19.3373513,1004,1.76
40.78429,18.865263,1143,1.76
42.26478,19.264096,1013,1.76
38.345489,19.510567,755,1.76
41.151194,19.2459162,1109,1.76
47.96633,19.208056,470,1.76
51.082253,19.2330502,271,1.76
45.213649,19.664903,892,1.76
42.96634,19.524883,1313,1.77
44.145674,19.6302489,1116,1.78
48.69387,19.323907,502,1.78
42.38064,19.726267,498,1.78
42.86944,19.184928,1078,1.78
46.09744,19.505362,1209,1.79
48.2939,19.378414,582,1.79
42.42435,19.717762,1088,1.79
46.05942,19.159513,1162,1.79
42.433041,19.4640272,946,1.79
49.08451,19.790144,844,1.79
50.86338,19.338847,956,1.79
49.97567,19.11586,300,1.8
44.10585,19.771077,1151,1.8
46.09757,19.505371,825,1.8
42.598852,19.7645009,812,1.8
47.27941,19.887895,961,1.8
46.43869,19.663233,668,1.8
38.47726,19.52818,842,1.8
49.9759,19.115845,392,1.81
43.66554,18.8154915,567,1.81
39.94913,19.407441,487,1.81
50.67239,19.753523,926,1.81
47.4572,19.479607,330,1.81
46.277488,19.5358564,1377,1.81
40.6161,19.23593,930,1.82
46.726688,19.5118611,868,1.82
50.033674,19.2067308,1127,1.82
37.964444,19.0441094,1437,1.82
49.41238,19.871196,767,1.82
44.42246,18.81332,1001,1.83
49.13037,19.70844,868,1.83
44.95578,18.9836657,641,1.83
48.208708,19.8018765,1263,1.84
42.18049,19.426057,1004,1.84
39.949042,19.4074603,1040,1.84
41.75548,19.784778,483,1.84
39.89816,18.924414,325,1.85
41.909214,19.8076714,849,1.85
39.03245,19.662918,816,1.85
43.53682,19.6494797,912,1.85
38.229031,19.16524,848,1.86
42.824912,19.5757886,428,1.87
48.3204,19.818535,1073,1.87
40.868754,19.8046763,447,1.87
46.858868,19.3190817,1291,1.87
46.276181,19.1924937,1191,1.88
40.63798,19.193137,980,1.88
46.57392,19.85615,1024,1.88
48.59988,19.685922,812,1.88
44.518579,18.9373184,456,1.88
41.300134,19.8236061,822,1.88
43.8901,18.8312,550,1.88
43.832035,19.1625992,507,1.88
40.948884,19.9426167,922,1.89
44.615645,19.5784335,987,1.89
41.900616,19.5821824,665,1.89
50.944334,19.1998622,770,1.9
44.00876,19.416199,804,1.9
39.78135,18.9354859,418,1.9
44.41233,20.114783,271,1.9
48.77566,19.88634,785,1.91
40.91648,19.478078,649,1.91
40.91935,19.066652,800,1.91
41.321838,18.864902,843,1.91
46.129112,19.5818639,1003,1.91
42.429493,19.4757993,585,1.92
39.30744,19.455605,345,1.92
45.29017,19.398216,725,1.92
44.956005,18.9836622,785,1.92
49.47928,19.614568,1174,1.93
42.43801,19.194409,1034,1.93
38.127412,19.4254854,1493,1.93
39.94894,19.4074666,555,1.93
49.01243,18.971112,194,1.93
39.27806,19.071943,265,1.94
42.429566,19.4758017,509,1.94
49.523402,19.1737122,985,1.94
51.082108,19.2330534,562,1.95
38.47729,19.528188,594,1.95
49.23314,18.932188,725,1.96
43.47271,19.324106,627,1.96
40.67066,19.966791,392,1.96
43.083824,19.3677751,743,1.96
45.349737,18.8808406,501,1.96
44.61561,19.5784291,775,1.97
42.26516,19.264087,1202,1.97
42.59871,19.7644866,912,1.97
49.89669,19.31868,540,1.97
42.824887,19.5757987,541,1.98
48.58079,18.880483,933,1.98
40.942387,19.2353898,700,1.98
48.481398,19.6746046,1610,1.98
39.2783,19.0719356,350,1.99
39.307311,19.4556219,538,1.99
49.30565,19.279971,811,1.99
47.39847,18.771305,549,1.99
41.56303,19.272421,639,1.99
41.23764,18.960612,987,1.99
42.30147,19.149514,751,2
41.33566,19.050094,740,2
47.35762,19.395655,540,2
47.15747,19.988714,303,2.01
47.15767,19.988713,487,2.02
40.948963,19.9426205,443,2.02
43.07469,19.4634513,634,2.04
41.321748,18.8649104,531,2.04
48.349658,19.6081037,447,2.05
39.30762,19.455605,424,2.05
43.66563,18.815494,361,2.06
45.227195,19.951232,384,2.06
49.57933,19.520556,616,2.06
39.339161,19.1927721,576,2.06
43.14168,19.1747258,615,2.06
43.083852,19.3677609,838,2.07
40.49645,19.883468,541,2.08
50.096004,19.7434421,927,2.08
38.014057,19.4617367,798,2.09
46.574353,19.8561607,513,2.09
46.96122,19.834023,203,2.09
46.498941,19.9157552,362,2.09
41.02314,19.477515,547,2.09
37.609094,19.4243254,509,2.1
43.83208,19.1626097,194,2.1
44.92122,18.81667,583,2.1
44.746355,19.8719666,1165,2.11
39.0319,19.662919,951,2.11
44.78118,19.08564,998,2.11
42.26515,19.264098,1115,2.11
